frame_num,pupil_x,pupil_y,inner_x,inner_y,outer_x,outer_y,eye_state,flag
0,,,952,480,,,1,
1,,,953,481,,,1,
2,,,953,480,,,1,
3,,,953,480,,,1,
4,,,953,480,,,1,
5,,,953,480,,,1,
6,,,953,480,,,1,
7,,,953,480,,,1,
8,,,953,480,,,1,
9,,,953,480,,,1,
10,,,953,480,,,1,
11,,,953,480,,,1,
12,,,953,480,,,0,
13,,,953,480,,,0,
14,,,953,480,,,0,
15,,,953,480,,,0,
16,,,953,480,,,1,
17,,,953,480,,,1,
18,,,953,480,,,1,
19,,,953,480,,,1,
20,,,953,480,,,1,
21,,,955,482,,,1,
22,,,956,482,,,1,
23,,,955,479,,,1,
24,,,955,483,,,1,
25,,,955,481,,,1,
26,,,955,481,,,1,
27,,,955,481,,,1,
28,,,955,481,,,1,
29,,,955,481,,,1,
30,,,955,481,,,1,
31,,,955,481,,,1,
32,,,955,481,,,1,
33,,,955,481,,,1,
34,,,955,481,,,1,
35,,,955,481,,,1,
36,,,955,481,,,0,
37,,,955,481,,,0,
38,,,955,481,,,0,
39,,,,,,,0,
40,,,955,481,,,1,
41,,,955,481,,,1,
42,,,955,481,,,1,
43,,,955,481,,,1,
44,,,955,481,,,1,
45,,,955,481,,,1,
46,,,955,483,,,1,
47,,,955,481,,,1,
48,,,955,481,,,1,
49,,,954,482,,,1,
50,,,955,481,,,1,
51,,,955,481,,,1,
52,,,955,481,,,1,
53,,,955,481,,,1,
54,,,955,481,,,1,
55,,,955,481,,,1,
56,,,955,481,,,1,
57,,,955,481,,,1,
58,,,955,481,,,1,
59,,,956,481,,,1,
60,,,955,481,,,1,
61,,,955,481,,,1,
62,,,955,481,,,1,
63,,,955,481,,,0,
64,,,955,481,,,0,
65,,,955,481,,,0,
66,,,955,481,,,0,
67,,,955,481,,,1,
68,,,955,482,,,1,
69,,,955,481,,,1,
70,,,955,481,,,1,
71,,,955,481,,,1,
72,,,955,481,,,1,
73,,,955,481,,,1,
74,,,955,481,,,1,
75,,,955,481,,,1,
76,,,955,481,,,1,
77,,,956,483,,,1,
78,,,955,481,,,1,
79,,,,,,,1,
80,,,955,481,,,1,
81,,,955,481,,,1,
82,,,955,481,,,1,
83,,,955,481,,,1,
84,,,955,481,,,1,
85,,,955,481,,,0,
86,,,953,481,,,0,
87,,,953,482,,,0,
88,,,953,482,,,0,
89,,,953,482,,,1,
90,,,953,482,,,1,
91,,,953,482,,,1,
92,,,952,481,,,1,
93,,,953,482,,,1,
94,,,953,482,,,1,
95,,,953,481,,,1,
96,,,953,482,,,1,
97,,,953,482,,,1,
98,,,954,483,,,1,
99,,,953,482,,,1,
100,,,953,482,,,1,
101,,,953,482,,,1,
102,,,953,482,,,1,
103,,,953,482,,,1,
104,,,955,481,,,1,
105,,,953,482,,,1,
106,,,953,482,,,1,
107,,,953,482,,,1,
108,,,953,482,,,1,
109,,,,,,,1,
110,,,953,482,,,0,
111,,,953,482,,,0,
112,,,953,482,,,0,
113,,,953,482,,,0,
114,,,953,482,,,1,
115,,,953,482,,,1,
116,,,953,482,,,1,
117,,,953,482,,,1,
118,,,953,482,,,1,
119,,,953,482,,,1,
120,,,953,482,,,1,
121,,,953,482,,,1,
122,,,953,482,,,1,
123,,,953,482,,,1,
124,,,953,482,,,1,
125,,,953,482,,,1,
126,,,953,482,,,1,
127,,,953,482,,,1,
128,,,953,482,,,1,
129,,,953,482,,,1,
130,,,953,482,,,1,
131,,,953,482,,,1,
132,,,955,482,,,1,
133,,,,,,,0,
134,,,,,,,0,
135,,,,,,,0,
136,,,,,,,0,
137,,,953,481,,,1,
138,,,955,483,,,1,
139,,,955,483,,,1,
140,,,955,483,,,1,
141,,,955,483,,,1,
142,,,955,483,,,1,
143,,,955,483,,,1,
144,,,955,483,,,1,
145,,,955,483,,,1,
146,,,955,483,,,1,
147,,,955,483,,,1,
148,,,955,483,,,1,
149,,,955,483,,,1,
150,,,955,483,,,1,
151,,,955,483,,,1,
152,,,954,483,,,1,
153,,,955,483,,,1,
154,,,955,483,,,1,
155,,,955,483,,,1,
156,,,955,483,,,1,
157,,,955,483,,,1,
158,,,955,481,,,1,
159,,,955,483,,,0,
160,,,,,,,0,
161,,,955,483,,,0,
162,,,955,483,,,0,
163,,,956,483,,,1,
164,,,955,482,,,1,
165,,,956,483,,,1,
166,,,956,483,,,1,
167,,,956,483,,,1,
168,,,956,483,,,1,
169,,,956,483,,,1,
170,,,956,483,,,1,
171,,,956,483,,,1,
172,,,,,,,1,
173,,,956,483,,,1,
174,,,956,483,,,1,
175,,,956,483,,,1,
176,,,956,483,,,1,
177,,,956,483,,,1,
178,,,956,483,,,1,
179,,,956,483,,,1,
180,,,956,483,,,1,
181,,,956,483,,,1,
182,,,956,483,,,1,
