frame_num,pupil_x,pupil_y,inner_x,inner_y,outer_x,outer_y,eye_state,flag
0,,,940,478,,,1,
1,,,940,477,,,1,
2,,,941,477,,,1,
3,,,941,477,,,1,
4,,,941,477,,,1,
5,,,941,477,,,1,
6,,,941,477,,,1,
7,,,941,477,,,1,
8,,,941,477,,,1,
9,,,945,479,,,1,
10,,,941,477,,,1,
11,,,941,477,,,1,
12,,,943,479,,,1,
13,,,941,477,,,1,
14,,,941,477,,,1,
15,,,946,479,,,1,
16,,,946,479,,,1,
17,,,946,479,,,1,
18,,,947,479,,,1,
19,,,946,480,,,1,
20,,,947,479,,,1,
21,,,947,479,,,1,
22,,,947,479,,,1,
23,,,947,479,,,1,
24,,,946,479,,,1,
25,,,945,479,,,1,
26,,,945,479,,,1,
27,,,945,479,,,1,
28,,,945,480,,,1,
29,,,945,480,,,1,
30,,,944,479,,,1,
31,,,945,480,,,1,
32,,,945,480,,,1,
33,,,945,480,,,1,
34,,,945,479,,,1,
35,,,945,480,,,1,
36,,,945,480,,,1,
37,,,944,479,,,1,
38,,,945,480,,,1,
39,,,945,480,,,1,
40,,,945,480,,,1,
41,,,944,480,,,1,
42,,,945,480,,,1,
43,,,945,480,,,1,
44,,,945,480,,,1,
45,,,945,479,,,1,
46,,,945,479,,,1,
47,,,945,479,,,1,
48,,,945,480,,,1,
49,,,947,478,,,1,
50,,,945,479,,,1,
51,,,945,479,,,1,
52,,,946,477,,,1,
53,,,945,479,,,1,
54,,,945,480,,,1,
55,,,948,479,,,1,
56,,,948,479,,,1,
57,,,948,479,,,1,
58,,,948,479,,,1,
59,,,948,478,,,1,
60,,,948,479,,,1,
61,,,948,479,,,1,
62,,,948,479,,,1,
63,,,948,479,,,1,
64,,,948,477,,,1,
65,,,948,479,,,1,
66,,,948,479,,,1,
67,,,948,479,,,1,
68,,,949,477,,,1,
69,,,948,479,,,1,
70,,,948,479,,,1,
71,,,948,479,,,1,
72,,,949,479,,,1,
73,,,949,479,,,1,
74,,,949,479,,,1,
75,,,949,477,,,1,
76,,,949,479,,,1,
77,,,950,479,,,1,
78,,,949,479,,,1,
79,,,950,479,,,1,
80,,,950,479,,,1,
81,,,950,477,,,1,
